elevation,altitude,distance,rss
3,15,101,-91
3,15,103,-90
3,16,106,-83
3,16,108,-85
3,16,109,-86
3,16,110,-76
3,15,111,-81
3,15,112,-87
3,15,113,-84
3,15,114,-85
3,15,115,-83
3,15,116,-73
3,14,118,-73
3,14,120,-82
3,14,123,-82
3,14,126,-77
3,14,131,-77
3,14,136,-79
3,14,141,-78
3,14,146,-81
2,14,153,-80
3,14,158,-84
3,14,165,-87
3,14,172,-85
3,14,182,-86
3,14,190,-79
3,14,200,-74
3,14,211,-73
4,14,221,-75
4,14,232,-78
4,14,244,-69
4,14,255,-66
4,14,267,-71
4,14,279,-67
3,14,290,-70
3,14,303,-83
3,14,315,-79
3,14,327,-69
3,15,339,-70
3,15,350,-71
3,15,362,-71
4,15,373,-72
4,15,384,-79
4,15,395,-77
4,15,405,-74
4,15,415,-73
4,15,425,-77
4,15,435,-82
4,15,445,-87
4,15,455,-85
5,15,464,-81
5,15,474,-79
5,15,484,-76
5,16,495,-77
5,16,505,-77
5,16,526,-41
5,16,537,-41
4,16,547,-41
4,16,557,-42
4,16,568,-42
4,16,577,-53
4,16,587,-53
4,16,597,-59
4,16,607,-62
4,16,616,-67
4,16,625,-68
4,16,635,-74
4,16,644,-72
4,16,653,-79
4,16,662,-77
4,16,671,-75
4,16,680,-77
5,16,689,-76
5,16,697,-77
5,16,705,-84
5,16,714,-80
5,16,722,-83
5,17,730,-81
5,17,739,-83
5,17,747,-80
5,17,755,-84
5,17,765,-82
5,17,774,-85
5,17,783,-80
5,17,793,-80
5,17,803,-83
5,17,813,-84
5,17,823,-82
5,17,833,-75
5,17,843,-75
5,17,854,-80
5,17,863,-74
5,17,872,-75
5,17,882,-79
5,17,892,-86
5,17,902,-81
5,17,912,-82
5,17,922,-71
5,17,932,-77
5,17,942,-76
5,17,952,-76
4,17,963,-79
4,17,973,-77
4,17,984,-79
4,17,995,-79
4,17,1005,-80
4,17,1017,-77
4,17,1028,-84
4,17,1039,-81
4,17,1050,-80
4,17,1060,-81
4,17,1072,-79
4,17,1083,-80
4,17,1094,-81
4,18,1105,-84
4,18,1116,-82
4,18,1127,-79
4,18,1139,-79
4,18,1150,-81
4,18,1162,-82
8,18,1465,-83
8,18,1473,-85
8,18,1482,-87
8,18,1489,-91
8,18,1498,-89
9,18,1506,-87
9,18,1516,-91
9,18,1524,-90
9,18,1533,-83
9,18,1543,-83
9,18,1552,-82
9,18,1562,-85
9,18,1572,-83
8,18,1582,-82
8,18,1592,-80
7,18,1602,-77
7,18,1613,-79
6,18,1623,-80
6,18,1633,-77
5,18,1644,-77
5,18,1655,-76
5,18,1666,-75
5,18,1676,-77
5,18,1687,-84
5,18,1698,-83
5,18,1708,-80
5,18,1718,-79
5,18,1728,-81
5,18,1739,-82
5,18,1749,-82
5,18,1759,-84
4,18,1771,-74
5,18,1781,-74
5,17,1792,-75
5,17,1804,-75
5,17,1815,-75
5,17,1826,-75
5,17,1838,-67
5,17,1849,-70
5,17,1861,-69
5,17,1873,-71
5,17,1885,-76
5,17,1897,-76
5,17,1909,-79
5,17,1920,-82
5,17,1933,-88
5,17,1945,-93
5,17,1957,-86
6,17,1969,-89
7,17,1981,-85
8,17,1993,-87
8,17,2005,-87
8,17,2018,-89
9,17,2029,-87
9,17,2042,-88
9,17,2054,-86
8,17,2066,-90
8,17,2079,-84
8,17,2091,-89
