Elevation,Altitude,Distance,RSS
3,12,102,-68
3,12,104,-68
3,11,105,-70
3,12,106,-69
3,12,107,-67
3,12,108,-70
3,12,110,-69
3,11,112,-73
3,11,114,-75
3,11,115,-82
3,11,116,-84
3,11,117,-80
2,11,119,-81
2,11,122,-76
2,11,124,-78
2,12,126,-77
2,11,128,-77
2,11,129,-69
2,11,130,-71
2,11,131,-74
2,11,132,-75
2,11,134,-74
2,11,135,-72
2,11,136,-79
2,12,137,-73
3,12,138,-87
3,12,139,-87
3,11,141,-73
3,11,142,-72
3,11,143,-81
3,11,146,-79
3,11,149,-75
3,11,151,-73
3,11,154,-76
3,11,156,-71
3,11,157,-78
3,11,160,-74
3,11,161,-85
3,11,162,-76
3,10,163,-87
3,10,165,-73
3,10,166,-72
3,10,167,-76
3,10,169,-75
3,9,171,-83
3,9,173,-87
3,9,174,-81
3,9,175,-78
3,9,177,-82
2,9,179,-78
2,9,181,-76
2,9,183,-72
2,9,184,-74
2,9,186,-76
2,9,187,-73
2,9,188,-71
2,9,189,-81
2,9,190,-79
2,9,191,-74
2,9,192,-73
2,9,194,-74
2,10,195,-76
2,10,197,-80
2,10,199,-77
2,10,200,-77
2,11,201,-86
2,11,203,-84
2,12,205,-80
2,12,206,-74
2,12,207,-83
2,12,208,-83
2,13,210,-87
2,13,211,-87
2,13,213,-83
2,14,214,-85
2,14,216,-80
2,14,217,-93
2,14,218,-89
2,14,219,-82
2,14,220,-85
2,14,221,-88
2,13,223,-86
2,13,225,-88
2,13,226,-79
2,13,227,-77
2,13,229,-79
2,13,230,-86
2,14,231,-88
2,13,233,-83
2,14,236,-80
2,13,238,-87
2,13,240,-80
2,14,244,-76
2,14,246,-78
2,14,248,-75
2,14,250,-73
2,14,251,-69
2,14,254,-70
2,14,255,-73
2,14,256,-71
2,14,259,-73
2,13,261,-72
2,13,264,-79
2,13,265,-78
2,13,267,-73
2,13,268,-70
2,13,270,-82
2,13,271,-70
2,13,272,-78
2,13,274,-68
2,13,276,-72
2,12,278,-74
2,13,281,-69
2,13,283,-70
3,13,284,-72
3,13,285,-74
3,13,287,-74
3,13,288,-77
3,13,289,-74
3,13,291,-76
3,14,292,-71
3,14,293,-71
3,14,294,-71
3,15,295,-71
3,15,296,-71
3,15,297,-73
3,15,298,-75
3,14,300,-73
3,14,301,-79
3,15,302,-73
3,14,304,-80
3,14,305,-76
3,15,307,-77
3,15,309,-77
3,15,312,-79
3,15,313,-75
3,15,315,-79
3,15,316,-77
3,16,318,-81
3,16,320,-78
3,17,323,-77
3,17,324,-81
3,17,326,-78
3,17,328,-70
3,17,329,-74
3,17,330,-77
3,17,331,-79
3,17,332,-78
3,16,333,-77
2,16,335,-75
2,16,336,-76
2,16,338,-67
2,16,340,-68
2,16,342,-68
2,16,343,-79
2,16,345,-77
2,16,347,-79
2,16,348,-75
2,17,351,-81
2,16,352,-77
2,16,354,-77
2,16,357,-79
2,15,358,-82
2,15,361,-77
2,15,365,-82
2,15,366,-74
2,15,368,-72
2,15,369,-69
2,14,371,-68
2,14,373,-68
2,14,374,-68
2,13,376,-67
2,13,379,-69
2,14,381,-75
2,14,384,-77
2,14,387,-73
2,14,389,-76
2,14,390,-72
2,15,393,-88
1,15,394,-76
1,15,396,-71
1,15,397,-81
1,15,399,-71
1,15,402,-67
1,15,404,-74
1,15,406,-73
1,15,408,-66
1,15,411,-77
1,15,412,-66
1,15,415,-77
1,15,417,-74
1,15,419,-68
1,15,421,-78
1,14,424,-76
1,15,425,-81
1,15,427,-72
1,15,428,-72
1,14,431,-68
1,14,432,-71
1,14,433,-70
1,14,436,-71
1,14,437,-69
1,14,438,-68
1,14,439,-73
1,14,440,-67
1,14,442,-71
1,14,444,-75
1,14,447,-76
1,14,450,-87
1,14,453,-84
1,14,457,-84
1,15,461,-77
1,15,464,-82
1,15,468,-84
1,15,472,-82
2,15,476,-81
2,15,479,-83
2,15,482,-88
2,15,485,-82
2,15,486,-80
2,15,488,-82
2,16,489,-84
2,17,491,-84
2,17,492,-80
2,17,494,-85
2,17,497,-85
2,17,499,-85
2,17,501,-86
2,17,504,-89
2,17,507,-89
2,18,510,-86
2,18,513,-85
2,17,516,-78
2,17,519,-91
2,17,522,-83
2,17,526,-83
2,17,529,-86
2,17,532,-80
2,17,535,-86
2,17,541,-65
2,17,545,-71
3,17,548,-75
3,17,551,-76
3,18,555,-74
3,18,558,-73
3,18,562,-73
3,18,565,-69
3,17,569,-74
3,17,572,-76
3,17,575,-77
3,18,577,-79
3,18,580,-80
3,18,584,-82
3,18,587,-80
3,18,590,-73
2,18,594,-79
2,18,596,-78
2,18,598,-79
2,19,599,-73
2,19,600,-74
2,19,602,-82
2,19,603,-80
2,19,604,-77
2,19,605,-80
2,18,606,-78
2,18,607,-73
2,18,608,-77
2,18,609,-81
2,17,610,-74
2,17,611,-79
2,16,613,-83
2,16,616,-77
2,16,619,-81
2,16,621,-82
2,16,624,-74
2,16,626,-77
2,16,629,-75
2,16,631,-75
2,16,633,-68
3,16,634,-82
3,16,635,-82
3,17,637,-85
3,18,638,-87
3,18,640,-81
3,18,642,-75
3,18,643,-89
3,18,644,-84
3,18,646,-89
3,18,647,-80
3,18,648,-76
3,18,649,-81
3,17,645,-79
3,16,650,-82
3,16,652,-84
3,16,654,-91
3,16,656,-99
3,15,655,-74
3,15,653,-74
3,16,651,-84
3,15,657,-83
3,15,658,-78
3,15,659,-84
3,15,660,-80
3,15,661,-82
3,15,662,-85
3,15,663,-76
3,15,665,-75
3,15,666,-82
3,15,668,-84
3,14,670,-91
3,15,672,-85
3,15,674,-81
3,15,677,-85
3,15,680,-83
3,14,683,-84
3,14,685,-88
3,14,688,-85
3,14,690,-84
3,14,693,-88
3,14,695,-82
3,14,697,-88
3,14,699,-81
3,14,701,-80
3,14,702,-85
3,14,704,-78
3,14,705,-83
3,14,706,-83
3,14,707,-84
3,14,709,-75
3,13,710,-84
3,14,712,-79
3,14,713,-78
4,14,715,-83
4,13,717,-81
4,14,718,-85
4,13,720,-81
4,13,721,-83
4,13,723,-84
4,13,725,-82
4,13,727,-83
4,14,729,-81
4,14,731,-80
4,14,733,-82
4,13,735,-80
4,13,737,-79
4,13,738,-83
4,13,745,-71
4,13,749,-70
4,13,750,-70
4,13,752,-73
4,13,753,-73
4,13,755,-71
4,13,757,-83
5,13,759,-80
5,13,761,-75
5,13,764,-76
5,13,766,-82
5,13,768,-83
5,13,771,-87
5,13,773,-83
5,13,775,-85
5,14,776,-87
5,14,778,-77
5,13,779,-88
5,13,781,-84
5,13,783,-93
5,13,784,-85
5,13,785,-85
5,13,787,-90
6,13,788,-96
6,12,790,-91
6,12,791,-87
6,12,792,-86
6,12,794,-84
6,11,796,-91
6,11,798,-85
6,11,800,-82
6,11,802,-84
6,11,803,-86
6,11,805,-84
6,11,807,-84
6,11,808,-89
6,11,810,-88
6,10,812,-89
6,11,814,-92
7,10,816,-86
7,10,817,-90
7,10,819,-90
7,10,820,-89
7,13,821,-88
7,13,822,-87
7,9,823,-89
7,9,824,-77
7,8,825,-82
7,8,826,-78
7,8,827,-78
7,8,828,-82
7,8,829,-74
7,8,830,-76
7,8,831,-91
7,8,832,-83
7,8,833,-83
7,8,834,-79
7,8,835,-77
7,8,836,-77
7,8,837,-88
7,8,838,-84
7,8,839,-95
