Elevation,Altitude,Distance,RSS
4,13,757,-66
5,13,759,-73
5,13,761,-70
5,13,764,-73
5,13,766,-76
5,13,768,-79
5,13,771,-85
5,13,773,-79
5,13,775,-79
5,13,776,-77
5,14,778,-81
5,13,779,-80
5,13,781,-84
5,13,783,-78
5,13,784,-84
5,13,785,-75
5,13,787,-83
6,13,788,-81
6,12,790,-82
6,12,791,-80
6,12,792,-81
6,12,794,-79
6,11,796,-82
6,11,798,-79
6,11,800,-78
6,11,802,-79
6,11,803,-79
6,11,805,-82
6,11,807,-76
6,11,808,-74
6,11,810,-76
6,10,812,-82
6,11,814,-83
7,10,816,-84
7,10,817,-80
7,10,819,-79
7,10,820,-87
7,13,821,-87
7,13,822,-90
7,9,823,-85
7,8,824,-87
7,8,825,-89
7,8,826,-91
7,8,827,-90
7,8,828,-82
7,8,829,-88
7,8,830,-90
7,8,831,-92
7,8,832,-84
7,8,833,-89
7,8,834,-86
7,8,835,-87
7,8,836,-82
7,8,837,-90
7,8,838,-94
7,8,839,-88
